Item No.,Computer Set Description,Processor,RAM,Storage,Device Type,Peripherals,,,,Operating System,Serial Number,Condition,Location,Remarks
,,,,,,Keyboard,Mouse,Power cord,HDMI,,,,,
1,COMLAB1-PC 01,Intel Core i5,8GB,256GB SSD,Desktop,OK,OK,OK,OK,Windows 11 ,SN- DTBK7SP00241200DDC9600,Good,Lab 1,WORKING
2,COMLAB1-PC 02,Intel Core i5,8GB,256GB SSD,Desktop,OK,OK,OK,OK,Windows 11 ,SN- DTBK7SP00241200E329600,Good,Lab 1,WORKING
3,COMLAB1-PC 03,Intel Core i5,8GB,256GB SSD,Desktop,OK,OK,OK,OK,Windows 11 ,SN- DTBK7SP00241200D6F9600,Good,Lab 1,WORKING
4,COMLAB1-PC 04,Intel Core i5,8GB,256GB SSD,Desktop,OK,OK,OK,OK,Windows 11 ,SN- DTBK7SP00241200E1C9600,Good,Lab 1,WORKING
5,COMLAB1-PC 05,Intel Core i5,8GB,256GB SSD,Desktop,OK,OK,OK,OK,Windows 11 ,SN- DTBK7SP00241200D619600,Good,Lab 1,WORKING
6,COMLAB1-PC 06,Intel Core i5,8GB,256GB SSD,Desktop,OK,OK,OK,OK,Windows 11 ,SN- DTBK7SP00241200E249600,Good,Lab 1,WORKING
7,COMLAB1-PC 07,Intel Core i5,8GB,256GB SSD,Desktop,OK,OK,OK,OK,Windows 11 ,SN- DTBK7SP00241200D099600,Good,Lab 1,WORKING
8,COMLAB1-PC 08,Intel Core i5,8GB,256GB SSD,Desktop,OK,OK,OK,OK,Windows 11 ,SN- DTBK7SP00241200CD19600,Good,Lab 1,WORKING
9,COMLAB1-PC 09,Intel Core i5,8GB,256GB SSD,Desktop,OK,OK,OK,OK,Windows 11 ,SN- DTBK7SP00241200E869600,Good,Lab 1,WORKING
10,COMLAB1-PC 10,Intel Core i5,8GB,256GB SSD,Desktop,OK,OK,OK,OK,Windows 11 ,SN- DTBK7SP00241200F1B9600,Good,Lab 1,WORKING
11,COMLAB1-PC 11,Intel Core i5,8GB,256GB SSD,Desktop,OK,OK,OK,OK,Windows 11 ,SN- DTBK7SP00241200E289600,Good,Lab 1,WORKING
12,COMLAB1-PC 12,Intel Core i5,8GB,256GB SSD,Desktop,OK,OK,OK,OK,Windows 11 ,SN- DTBK7SP00241200F119600,Good,Lab 1,WORKING
13,COMLAB1-PC 13,Intel Core i5,8GB,256GB SSD,Desktop,OK,OK,OK,OK,Windows 11 ,SN- DTBK7SP00241200DD79600,Good,Lab 1,WORKING
14,COMLAB1-PC 14,Intel Core i5,8GB,256GB SSD,Desktop,OK,OK,OK,OK,Windows 11 ,SN- DTBK7SP00241200E889600,Good,Lab 1,WORKING
15,COMLAB1-PC 15,Intel Core i5,8GB,256GB SSD,Desktop,OK,OK,OK,OK,Windows 11 ,SN- DTBK7SP00241200E119600,Good,Lab 1,WORKING
