CONDEMNED MONITOR/SYSTEM UNIT,,,,CONDEMNED KEYBOARD,,
Model,Category,SN#,,Model,Category,SN#
Lenovo,System Unit,P900TVMN,,INT ,Keyboard,N/A
Lenovo,System Unit,P900TVLU,,ASUS,Keyboard,3070
A10-1380,System Unit,9I0-20221247,,YDD,Keyboard,N/A
A10-1380,All in one,20221202,,INT,Keyboard,N/A
A10-1380,All in one,20221201,,CDR KING,Keyboard,N/A
A10-1300,All in one,20221226,,INT,Keyboard,N/A
A10-1380,All in one,20221212,,YDD,Keyboard,N/A
Lenovo,All in one,P900TVL4,, CDR KING,Keyboard,N/A
Lenovo,All in one,P9010RLR,,ASUS,Keyboard,AU2A1416004225
Lenovo,All in one,P9010RNI,,YDD,Keyboard,N/A
Colorview,Monitor,E1608LEP12040119,,VORTEX,Keyboard,N/A
A10,All in one,20221265,,CDR KING,Keyboard,N/A
Military Unit,System Unit,Model-P4-650W,,RISE,Keyboard,N/A
HP PRO,System Unit,CNGO454W3C,,VORTEX,Keyboard,N/A
Neutron Lite ,System Unit,N/A,,N/A,Keyboard,N/A
A10,All in one,20221209,,RISE,Keyboard,N/A
Lenovo,All in one,P900TVNG,,RISE,Keyboard,N/A
LG,Monitor,4041NLV5E904,,LOGITECH,Keyboard,CEO34CEM31079
Acer,Monitor,MMLXKSS0065120B4894213,,INT,Keyboard,80INT
Asus,Monitor,83LMTF189216,,ASUS,Keyboard,N/A
Acer,Monitor,MMTX5SP00334601AA62X00,,LENOVO,Keyboard,2023-013
LG,Monitor,4051NWA4L553,,IBM,Keyboard,2023-014
Samsung,System Unit,ALL IN ONE SYSTEM,,RISE,Keyboard,N/A
Lenovo,System Unit,P900TVT5,,VORTEX,Keyboard,N/A
Benq,Monitor,ETK6D02601019,,RX-586,Keyboard,2023-029
LG,Monitor,405INMF49755,,LUCKY,Keyboard,2023-077
Hanns-G,Monitor,0399H3LY00634,,IBM,Keyboard,2023-004
LG,Monitor,405INPT4R896,,IBM,Keyboard,2023-017
LG,Monitor,405INCN49627,,IBM,Keyboard,2023-002
Samsung,System Unit,ALL IN ONE SYSTEM,,IBM,Keyboard,2023-009
LG,Monitor,405INPT49624,,I2ITK 105M,Keyboard,N/A
LG,Monitor,405INPX49729,,KB-816K-P,Keyboard,N/A
LG,Monitor,405INZY49629,,RX-586,Keyboard,N/A
RedFox,Monitor,PY0708RF15991192,,CDR-KING,Keyboard,N/A
Viewsonic,Monitor,UEM170522435,,CDR-KING,Keyboard,N/A
Hanns-G,Monitor,042NH3LY00977,,RX-586,Keyboard,N/A
Polyview,Monitor,PT7258,,RX-586,Keyboard,N/A
Acer,Monitor,MMT0ASS004610B4844205,,RX-586,Keyboard,2023-038
Viewsonic,Monitor,UEM170522420,,INTEX,Keyboard,N/A
Acer,Monitor,MMLY6SS0075250V1468501,,RX-586,Keyboard,2023-042
LG,Monitor,311INBSBN693,,VORTEX,Keyboard,N/A
Samsung,System Unit,ALL IN ONE SYSTEM,,KB-790B-P,Keyboard,N/A
INX,Monitor,L17CX,,CDR-KING,Keyboard,N/A
Polyview,Monitor,PT725A,,ASUS,Keyboard,AV01144003070
Viewsonic,Monitor,UEM170522388,,RX-586,Keyboard,2023-083
TG,Monitor,N/A,,CDR-KING,Keyboard,2023-061
Samsung,System Unit,N/A,,N-60,Keyboard,2023-076
LG,Monitor,405INH249673,,CDR-KING,Keyboard,N/A
LG,Monitor,405INVM49767,,VORTEX,Keyboard,N/A
Lenovo,Monitor,P900TVNG,,INTEX,Keyboard,N/A
Lenovo,Monitor,P900TVNG,,RX-586,Keyboard,2023-039
LG,Monitor,405INGQ49607,,FOREV,Keyboard,N/A
Lenovo,System Unit,4900TVNG,,LUCKY,Keyboard,2023-018
SECURE,AVR,N/A,,CDR-KING,Keyboard,N/A
SECURE,AVR,N/A,,IBM,Keyboard,2023-005
SECURE,AVR,N/A,,IBM,Keyboard,2023-003
SECURE,AVR,N/A,,VORTEX,Keyboard,2023-021
SECURE,AVR,N/A,,LENOVO,Keyboard,884
SECURE,AVR,N/A,,A-4TECH,Keyboard,N/A
SECURE,AVR,N/A,,RISE,Keyboard,N/A
SECURE,AVR,N/A,,RX-586,Keyboard,N/A
SECURE,AVR,N/A,,INT,Keyboard,N/A
SECURE,AVR,N/A,,CDR-KING,Keyboard,KB-CO10-ZE
POWER ACE,AVR,N/A,,LOGITECH,Keyboard,N/A
POWER ACE,AVR,N/A,,RX-586,Keyboard,N/A
INTEX,AVR,N/A,,A-4TECH,Keyboard,N/A
INTEX,AVR,N/A,,N/A,Keyboard,N/A
,,,,CDR-KING,Keyboard,KB-D13P-H
,,,,LOGITECH,Keyboard,N/A
,,,,LENOVO,Keyboard,OOOO884
,,,,INT,Keyboard,N/A
,,,,VORTEX,Keyboard,N/A
,,,,CDR-KING,Keyboard,KB-518B-P
,,,,LENOVO,Keyboard,OOOO884
,,,,N/A,Keyboard,N/A
,,,,RISE,Keyboard,N/A
,,,,N/A,Keyboard,N/A
,,,,YDD,Keyboard,2023-032
,,,,CDR-KING,Keyboard,N/A
,,,,CDR-KING,Keyboard,N/A
,,,,RX-586,Keyboard,2023-069
